Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
İşçi , teftiş için denetçiye ulaşmış ancak onun yerine onu rencide etmiştir .
Denetçi , işçiyi uyarmaya çalışmış ancak bunun yerine onun kafasını karıştırmıştır .
Marangoz , resepsiyoniste hayran kaldı ve ona bir sandalye yaptı .
Resepsiyonist , bir sandalye yapmak için marangoza ihtiyaç duydu ve ondan rica etti .
Çiftçinin akıl sağlığı , danışman tarafından sorgulanmış ve teste girmeye zorlanmıştır .
Danışman , çiftçinin akıl sağlığını sorgulamış ve onu bir teste girmeye zorlamıştır .
İnşaat işçisi , yazarın hayranıydı ve onun kitaplarını okuyordu .
Yazar , inşaat işçisiyle hiç tanışmamış ve onunla tanışmak da istememiştir .
Yönetici , öğretmenin iyi performans gösterdiğini fark etti ve ona zam yaptı .
Öğretmen , yönetici için iyi bir performans sergiledi ve ondan zam istedi .
Çiftçi , denetçiyle yüzleşti ve ondan gitmesini istedi .
Denetçinin çiftçinin çiftliğini incelemesi gerekiyordu ve sabah onun kapısına geldi .
CEO &apos; nun mahkeme tarafından danışman tarafından muayene edilmesine karar verilmiş ve o özgür bir şekilde onun muayenesine teslim edilmiştir .
Danışmana CEO &apos; yu muayene etmesi emredilmiş ve onun evine gönderilmiştir .
Satış görevlisi , muhasebecinin hiçbir zaman bir şey satın almadığını fark etti ve ondan nefret etti .
Muhasebeci , satış görevlisinden hiçbir zaman bir şey satın almadı ve onun tüm tekliflerinden nefret etti .
Şef , fırıncıdan ekmek aldı ve ona parasını ödedi .
Fırıncı , ekmeği şefe verdi ve ondan parasını aldı .
Sürücünün danışmanı götürmesi gerekiyordu ve o sabah onu aldı .
Danışmanın sürücünün onu bırakmasına ihtiyacı vardı ve sabah için bir araç ayarlamak üzere onu aradı .
İnşaat işçisi , hemşirenin en iyisi olduğunu biliyordu ve ondan bir muayene istedi .
Hemşire , inşaat işçisinin yaralandığını görmüş ve onu muayene etmiştir .
Amir , kütüphaneciyle yüzleşti ve ona kitabı getirmesini söyledi .
Kütüphaneci , kitabı amirinden sakladı ve ona başka bir yere bakmasını söyledi .
CEO , memurun raporlarında bir sorun olduğunu fark etti ve ondan kanıt sunmasını istedi .
Memurun , CEO &apos; yu tatmin etmesi gerekiyordu ve onun için bir rapor hazırladı .
Avukat , kütüphanecinin bir kitap bulmasına ihtiyaç duydu ve ondan bunu istedi .
Kütüphaneci , avukatın isteğini yerine getirdi ve ona bir kitap verdi .
Analist , temizlikçinin kağıtları toplamayı unuttuğunu fark etti ve ona hatırlattı .
Temizlikçi , analistin kağıtlarını asla toplamıyor ve bugün ona bunun kabul edilebilir olup olmadığını sordum .
Amir , kuaförün uzun saçlarını fark etti ve ona saçlarını kestirmesini söyledi .
Kuaför , amirin saçından nefret ediyor ve ona hiç iltifat etmiyordu .
İnşaat işçisi , fırıncıya güvenmiyordu ve onun ekmeğini hiç almadı .
Fırıncı , inşaat işçisinden hoşlandı ve ona ekmeğini indirimli satmaya çalıştı .
CEO , tasarımcı tarafından görmezden gelindi ve onun bu nedenle teklifini reddetti .
Tasarımcı , CEO &apos; dan nefret ediyor ve onu görmezden geliyordu .
CEO , temizlikçiye güvenmedi ve ondan gitmesini istedi .
Temizlikçi , CEO &apos; yu gözetlemekten hoşlanıyor ve konuşmalarını dinliyordu .
Satış görevlisi , fırıncının iğrenç mutfağını fark etti ve ona ekmek satmayı bırakmasını söyledi .
Fırıncı , mutfaktaki küfü satış görevlisinden saklamaya çalışmış ancak bunun yerine onu kızdırmıştır .
Sürücü , kütüphanecinin aptal şapkasından utandı ve onu hiçbir yere götürmedi .
Kütüphaneci , sürücünün önünde aptal şapkalar takmış ve sürücünün üstünü değiştirme taleplerini reddetmiştir .
Çiftçi , resepsiyonistin uzun boylu olduğunu fark etti ve daha sonra ona güvendi .
Resepsiyonist , çiftçi için iyi bir iş çıkarmış ve onun güvenini kazandı .
Aşçı , kütüphanecinin kitaplarını çok severdi ve sürekli ondan çalardı .
Kütüphaneci , kitapları aşçıyla paylaşmayı severdi ama aşçı çalmaya başlayınca bıraktı .
Güvenlik görevlisi , sekretere hayrandı ve onun işini istiyordu .
Sekreter , güvenlik görevlisini hiç görmedi ve işini istemedi .
CEO , fırıncının ekmeğini beğendi ve ondan düzenli olarak alışveriş yaptı .
Fırıncı , CEO &apos; ya ekmek sattı ve onun ziyaretlerinden keyif aldı .
Denetçi , yaralardan şikayet ederek doktora gelmiş ve doktor tarafından muayene edilmiştir .
Doktor , denetçiyi gördü ve yaralar açısından muayene etti .
Yönetici , kasiyere karşı acımasız olmak istedi ve ona yeni bir iş bulmasını önerdi .
Kasiyer , yönetici için kötü bir performans sergiledi ve onu haklı çıkardı .
Resepsiyonist , analistten kötü raporlar almaktan bıkmış ve ona gitmesini söylemiştir .
Analist , resepsiyonistten kötü raporlar almaktan bıkmış ve ona gitmesini söylemiştir .
Nakliyeci , memurun ne kadar zayıf olduğunu gördü ve masayı onun için taşıdı .
Memur , nakliyeciden masayı taşımasına yardım etmesini istedi ve ona teşekkür etti .
İnşaat işçisi , hizmetliyle konuşmak istedi ve onu içeri aldı .
Hizmetli , inşaat işçisinin el salladığını gördü ve ona doğru yürüdü .
CEO , hizmetliye ne yapması gerektiğini söylemekten hoşlanıyordu ve ona ortalığı süpürmesini söyledi .
Hizmetli , CEO söyleyene ve yorumlarını takdir edene kadar her zaman süpürmeyi unuturdu .
İşçi , kütüphaneciye bir kitaplık inşa etti ve ona bir fatura uzattı .
Kütüphaneci , işçiye bir kitaplık siparişi verdi ve işçi projeyi hızla tamamladı .
Çiftçi , kuaförle sessiz anların tadını çıkardı ve sürekli ona gitti .
Kuaför , çiftçinin sessizliğini bozmadı ve saçlarını kesti .
Şerif , kasiyerin parayı aldığını düşündü ve onu sorguladı .
Kasiyer , şerife paranın kaybolduğunu söylemiş ancak onu ikna edememiştir .
Amir , muhasebecinin protokolü takip edemediğini fark etti ve onu azarladı .
Muhasebeci , amirini hiç sevmemiş ve kendisine bağırıldıktan sonra daha da az sevmiş .
Analist , fırıncıya raporu verdi ve ona işin bittiğini söyledi .
Fırıncı , analistin raporundan korkuyor ve onunla konuşmaktan çekiniyordu .
Güvenlik görevlisi , hemşirenin yanına gitti ve onun muayenesini kabul etti .
Hemşire , güvenlik görevlisini dikkatle muayene etti ve ona bir teşhiste bulundu .
Terzi , yöneticiyle konuşmuş ve ondan zam istemiş .
Yönetici , terziyle konuştu ve ondan yeni bir tasarım yapmasını istedi .
Hemşire , analiste yardım etmeyi teklif etti ve ardından ona bir yastık verdi .
Analist , hemşireye yardım etmeyi teklif etti ve ardından vergilerini ödedi .
Tasarımcı , tamirciyi tanıdı ve ardından onu selamladı .
Tamirci , tasarımcıyı tanıdı ve ardından onu selamladı .
Kuaför , marangozu aradı ve ondan yardım istedi .
Marangoz , kuaförü aradı ve ondan yardım istedi .
Amir , yazara yardım etti ve sonra da ondan bu iyiliğe karşılık vermesini istedi .
Yazar , amirine yardım etti ve daha sonra ondan bu iyiliğe karşılık vermesini istedi .
Tasarımcı , şerifle temasa geçti ve ona durumu açıkladı .
Şerif , tasarımcıyla temasa geçti ve durumu ona anlattı .
Hemşire , yöneticiye yaklaştı ve ardından bir sorunla ilgili olarak ona yardımcı oldu .
Yönetici , hemşireye yaklaştı ve ardından bir sorunla ilgili olarak ona yardımcı oldu .
Asistan , şerifi aradı ve ona durumu anlattı .
Şerif , asistanını çağırdı ve ona emirler verdi .
Fırıncı , aşçıyı selamladı ve ona yardım teklif etti .
Aşçı , fırıncıyı selamladı ve ona yardım teklif etti .
Muhasebeci , nakliyeciyle konuştu ve sonra ona biraz yardım teklif etti .
Nakliyeci , muhasebeciyle konuştu ve ondan tavsiye istedi .
Kütüphaneci , analiste bir kitap gösterdi ve sonra ona başka bir şey ödünç verdi .
Analist , kütüphaneciden bir kitap istedi ve daha sonra ondan hiçbir şey ödünç almadı .
Görevli , şerife su ikram etti ve ardından ona bir menü uzattı .
Şerif , görevliden bir menü istedi ve ardından ona bir soru sordu .
Öğretmen , işçiyle selamlaştı ve onunla sohbet etmeye başladı .
İşçi , öğretmenle selamlaştı ve onunla sohbet etmeye başladı .
Denetçi , satış görevlisine bir uyarıda bulunmuş ve ardından kendisine bir ihbarname vermiştir .
Satış görevlisi , denetçiye bir fiyat teklifi sunmuş ve ardından ona malı göstermiştir .
Editör , CEO ile konuştu ve ona bir taslak gösterdi .
CEO , editörle konuştu ve ona zam yaptı .
Danışman , kapıcıya tavsiyelerde bulunmuş ve ona faydalı kaynaklar sağlamıştır .
Kapıcı , danışmanla konuştu ve ona durumu açıkladı .
Fırıncı , işçiye yaklaştı ve ona havanın nasıl olduğunu sordu .
İşçi , fırıncıya yaklaştı ve ona havanın nasıl olduğunu sordu .
Nakliyeci , öğretmen için çalıştı ve yeni dairesine yerleşmesine yardımcı oldu .
Öğretmen , nakliyeciyi eve geri götürdü ve iş için ona ödeme yaptı .
Denetçi , amiri uyarmış ve kendisine bir ihtar vermiştir .
Amir , denetçiye teşekkür etti ve iyi dileklerini iletti .
Editör , geliştiriciyle görüştü ve ondan açıklama istedi .
Geliştirici , editörle görüştü ve ondan açıklama istedi .
Kütüphaneci , güvenlik görevlisini fark etti ve onu selamladı .
Güvenlik görevlisi , kütüphaneciyi fark etti ve onu selamladı .
Temizlikçi , inşaat işçisine teşekkür etti ve onu evine bıraktı .
İnşaat işçisi , temizlikçiye teşekkür etti ve üstün temizlik hizmetleri için onu ödüllendirdi .
Sekreter , sürücüyle irtibata geçti ve onu eve bırakmasını istedi .
Sürücü , sekreteri aradı ve bir araca ihtiyacı olup olmadığını sordu .
Amir , asistana hakaret etti ve ardından onu kovdu .
Asistan , amiri tarafından kovuldu ve ona pislik dedi .
Sürücü , denetçiye yaklaşmış ve ondan yardım istedi .
Denetçi , sürücüye yaklaştı ve ondan yardım istedi .
Öğretmen , şefe durumu açıkladı ve onun tarafından anlaşıldığını hissetti .
Şef , durumu öğretmene açıkladı ve onun tarafından anlaşıldığını hissetti .
Yazar , doktoru görmeye gitti ve ona sağlık sorunları hakkında sorular sordu .
Doktor , yazarı görmeye gitti ve ona nasıl iyi kitaplar yazabileceğini sordu .
Memur , şerife cevap verdi ve belgeleri en kısa zamanda dosyalamasını tavsiye etti .
Şerif , memuru selamladı ve ona iyi günler diledi .
Terzi , tamirciyi gördü ve ona fiyatı açıkladı .
Tamirci , terziyi gördü ve ona fiyatı açıkladı .
Kasiyer , geliştiriciyle konuştu ve ardından onu bir fincan kahve içmeye davet etti .
Geliştirici , kasiyerle konuştu ve ardından onu bir fincan kahve içmeye davet etti .
Editör , doktorla temasa geçti ve ondan sağlık tavsiyesi istedi .
Doktor , editörle temasa geçti ve ona bir tıp dergisinde yayın yapma konusunu sordu .
Memur , çiftçiye bir belge uzattı ve ona hızlı dosyalamanın önemini anlattı .
Çiftçi , memura işi anlattı ve ona bazı genel sorunlardan bahsetti .
Görevli , tamirci ile konuştu ve ondan arabayı tamir etmesini istedi .
Tamirci , görevliyle konuştu ve para iadesi istedi .
Denetçi , nakliyeciyle temasa geçti ve ona taşınma konusunu sordu .
Nakliyeci , denetçiyle temasa geçti ve ona bir sonraki denetimi sordu .
Tasarımcı , şefle temasa geçti ve yeni logo için gereklilikleri sordu .
Şef , tasarımcıyla temasa geçti ve ona yeni logo için gerekenleri iletti .
Sekreter , doktoru aradı ve ona yeni bir hastadan bahsetti .
Doktor , sekreteri aradı ve bir randevuyu iptal etmesini istedi .
Kasiyer , çiftçiyi gördü ve ondan imza vermesini istedi .
Çiftçi , kasiyere gitti ve depozito istedi .
Terzi , satış görevlisini işe aldı ve ondan iş için takım elbise satmasını istedi .
Satış görevlisi , terziye ödemeyi yaptı ve iyi bir iş çıkardığı için teşekkür etti .
Kütüphaneci , şefle konuştu ve ona bir kitap tavsiye etti .
Şef , kütüphaneciyle konuştu ve ondan bir kitap tavsiyesi istedi .
Muhasebeci , kapıcıyla tanıştı ve ona iyi dileklerini iletti .
Kapıcı , muhasebeciyle tanıştı ve ona iyi dileklerini iletti .
Muhasebeci , kapıcıyla tanıştı ve ona iyi dileklerini iletti .
Kapıcı , muhasebeciyle tanıştı ve ona iyi dileklerini iletti .
Asistan , şefi bir sorun hakkında bilgilendirdi ve ondan harekete geçmesini istedi .
Şef , asistanına haber verdi ve not almasını istedi .
Öğretmen , marangozla konuştu ve ondan bir sandalyeyi tamir etmesini istedi .
Marangoz , öğretmenle konuştu ve ona bilimle ilgili sorular sordu .
Asistan , avukatla temasa geçti ve onu tuttu .
Avukat , asistanla irtibata geçti ve ondan yeni bir randevu almasını istedi .
Tasarımcı , işçiyi fark etti ve onu coşkuyla selamladı .
İşçi , tasarımcıyı fark etti ve onu coşkuyla selamladı .
Memur , aşçıyla tanıştı ve ondan bir yemek tarifi için tavsiye istedi .
Aşçı , memurla tanıştı ve ondan evrak işleri konusunda yardım istedi .
Kasiyer , çeki analiste geri verdi ve ondan ciro etmesini istedi .
Analist , kasiyere gitti ve ondan bir çek yatırmasını istedi .
Yazar , güvenlik görevlisiyle tanıştı ve onun için bir imza verdi .
Güvenlik görevlisi , yazarla buluştu ve ondan bir imza istedi .
Hizmetli , avukatla temasa geçti ve ondan tavsiye istedi .
Avukat , hizmetliyi temsil etti ve davayı kazanmasına yardımcı oldu .
Muhasebeci , aşçıyı aradı ve ondan bir parti için yemek hazırlamasını istedi .
Aşçı , muhasebeciyi aradı ve ona mali durumu açıkladı .
Kuaför , CEO &apos; nun saçını şekillendirdi ve ona bir saç jölesi önerdi .
CEO , kuaförü aradı ve ödemeyi telefonda yaptı .
Temizlikçi , marangozla temasa geçti ve ondan ahşap bir dolabı tamir etmesini istedi .
Marangoz , temizlikçiyle temasa geçti ve ondan evi temizlemesini istedi .
Danışman , avukata ifadesini verdi ve ondan ifadesini gizli tutmasını istedi .
Avukat , danışmanın iddialarını dinledi ve olaylarla ilgili anlattıklarına itiraz etti .
Öğretmen , geliştiriciye gereksinimleri sundu ve ona bunların uygulanmasının mümkün olup olmayacağını sordu .
Geliştirici , öğretmene gitti ve ona hava durumunu sordu .
Hizmetli , yöneticiden zam talep etti ve o da bunu yerine getirdi .
Yönetici , hizmetliye zam teklif etti ve o da memnuniyetle kabul etti .
Editör , nakliyeciyle tanıştı ve onunla taşınma hakkında konuştu .
Nakliyeci , editörle tanıştı ve ona dergi işi hakkında sorular sordu .
Memur , avukatla göz teması kurdu ve ona gülümsedi .
Avukat , memurla göz teması kurdu ve ona gülümsedi .
Editör , çiftçiyle selamlaştı ve ona saati sordu .
Çiftçi , editörle selamlaştı ve ona saati sordu .
Görevli , analiste hizmet etti ve ona hoş karşılandığını hissettirdi .
Analist , görevliyle tanıştı ve ona hizmeti için teşekkür etti .
Çiftçi , fırıncının çok fazla ekmeği olduğunu gördü ve ondan paylaşmasını istedi .
Fırıncı , çiftçiden daha fazla para istedi ve ona daha fazla ekmek vermek istemedi .
Güvenlik görevlisi , kasiyerin dikkatsiz davrandığını fark etti ve ondan dikkatli olmasını istedi .
Kasiyer , güvenlik görevlisini hiç dikkate almadı ve ondan gitmesini istedi .
Nakliyeci , resepsiyoniste elini uzattı ve onun masasını taşıdı .
Resepsiyonistin nakliyeciden yardıma ihtiyacı vardı ve ondan yardım istedi .
Muhasebeci , güvenlik görevlisini görmezden geldi ve onunla hiç konuşmadı .
Güvenlik görevlisi , muhasebeciyle arkadaş olmaya çalıştı ve ona bir hesap makinesi aldı .
Analist , kuaförden saç tıraşı olmayı seviyordu ve sık sık ona gidiyordu .
Kuaför , analiste her zaman ikramlarda bulundu ve onun saçlarını harika bir şekilde kesti .
Editör , aşçının yemeklerini beğendi ve ona tekrar geleceğine dair söz verdi .
Aşçı , editöre yemek servisi yaptı ve onu memnun bıraktı .
Memur , inşaat işçisine yardım etti ve ona birçok bilgi verdi .
İnşaat işçisi , evrakları memura verdi ve ondan başvuruyu işleme koymasını istedi .
